"","gene","ESC","EpiLC","q.value.ESC.EpiLC"
"5492","Ubqln1",59.1,76.9144,0.131918
"5493","Gkap1",12.0342,7.59916,0.0265331
"5494","Kif27",0.14065,0.335232,1
"5495","2210016F16Rik",7.46631,6.70494,0.729054
"5496","Hnrnpk",498.905,429.529,0.518533
"5497","Mir7-1",23.7568,29.4006,0.379091
"5498","Slc28a3",0.513901,0.549351,0.902587
"5499","4930455J16Rik",0,0.00746534,1
"5500","Agtpbp1",8.0446,8.79994,0.7589
"5501","A230056J06Rik",0.175434,0.193647,1
"5502","Golm1",55.7448,35.4786,0.00573706
"5503","4921517D22Rik",0.0561247,0.080929,1
"5504","Fam75d3",0.894971,0.40946,0.00230466
"5505","4932411G14Rik",0.119758,0.0561714,1
"5506","Isca1",33.6824,23.5242,0.0458423
"5507","Zcchc6",9.43318,10.71,0.596643
"5508","Gas1",1.13934,1.87303,0.0701318
"5509","BC051665",0,0,1
"5510","Ctsll3",0,0,1
"5511","4930486L24Rik",0.738776,1.23824,0.136502
"5512","Ctla2b",0,0,1
"5513","Tpbpb",0,0,1
"5514","Ctla2a",7.69458,6.42027,0.555832
"5515","Tpbpa",0,0,1
"5516","Ctsj",0,0,1
"5517","Ctsq",0,0,1
"5518","Ctsr",0,0,1
"5519","Cts6",0,0,1
"5520","Cts8",0.826123,0.992804,0.663801
"5521","Cts8-ps",0.0922824,0.0582459,1
"5522","Cts7",0,0,1
"5523","Ctsm",0.0967253,0.0665886,1
"5524","Cts3",0,0.00933335,1
"5525","A130040M12Rik",19.8337,13.2798,0.251341
"5526","Gm3604",7.1178,5.15849,0.139231
"5527","Zfp935",8.48029,6.81294,0.382147
"5528","Zfp934",11.2762,8.13843,0.139231
"5529","6720489N17Rik",3.47314,3.49319,0.989945
"5530","Gm5141",3.72641,3.90338,0.91256
"5531","Fbp2",1.77931,1.43919,0.608143
"5532","Fbp1",0.373581,2.38468,0.000682861
"5533","Gm16907",0.865314,1.36103,0.404728
"5534","Mir3074-1",0,9.60832,1
"5535","Fancc",6.16313,4.35067,0.101746
"5536","Ptch1",16.3514,22.2378,0.0783868
"5537","Hsd17b3",0.00943181,0.0317066,1
"5538","Slc35d2",3.19872,4.44322,0.20152
"5539","Zfp367",8.46138,9.94796,0.505034
"5540","Cdc14b",6.26015,9.39527,0.0280586
"5541","1110018J18Rik",7.9925,14.2218,0.00612784
"5542","Ctsl",89.6578,49.3814,0.000682861
"5543","1190003K10Rik",0,0,1
"5544","Cntnap3",0.0728412,0.0326413,1
"5545","Hiatl1",15.0965,15.4008,0.956172
"5546","Nlrp4f",1.85216,4.34444,0.000682861
"5547","2410141K09Rik",71.8036,83.0446,0.577006
"5548","Uqcrb",317.331,236.338,0.0991813
"5549","Mterfd1",17.2481,13.4667,0.58579
"5550","4933433G19Rik",1.82221,1.40554,0.915145
"5551","Zfp712",0.975056,0.965898,0.985557
"5552","Rslcan18,Zfp708",2.10518,1.91095,0.819855
"5553","Zfp458",0.382909,0.142636,1
"5554","Zfp457",1.30376,0.841559,0.158181
"5555","Zfp595",1.80648,2.01374,0.778565
"5556","Zfp953",4.97569,2.62682,0.00126911
"5557","Zfp456",1.00843,0.837384,0.622614
"5558","Rex19",0.301917,0.213041,1
"5559","Zfp459",14.3882,6.33823,0.000682861
"5560","Zfp874a",1.61813,2.66215,0.0424782
"5561","Zfp874b",3.0447,5.07721,0.0123193
"5562","Zfp58",4.45823,5.22713,0.601649
"5563","Zfp87",5.04066,5.66752,0.70394
"5564","Zfp748",4.01343,4.69211,0.604186
"5565","AA987161",8.08199,6.36729,0.282586
"5566","A530054K11Rik",3.8032,2.9722,0.304461
"5567","Zfp738",2.44345,2.35847,0.935848
"5568","Zfp71-rs1",17.4384,9.9505,0.000682861
"5569","Zfp85-rs1",1.31827,1.05013,0.592985
"5570","4930525G20Rik",0.152279,0.151727,1
"5571","Mtrr",17.4283,17.5947,0.978034
"5572","Adcy2",0.453054,0.0965801,1
